('Gross Profit', '176,279,000.00', '171,008,000.00', '146,052,000.00', '135,620,000.00', '115,856,000.00')
         802467 function calls (780315 primitive calls) in 1.561 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      128    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      122    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      122    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      121    0.001    0.000    0.002    0.000 sre_compile.py:516(_get_charset_prefix)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      113    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      113    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
  108/106    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      104    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      102    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      100    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       97    0.003    0.000    0.038    0.000 element.py:792(_find_all)
       97    0.000    0.000    0.038    0.000 element.py:2013(find_all)
       97    0.000    0.000    0.000    0.000 element.py:2155(__init__)
       97    0.000    0.000    0.000    0.000 element.py:2422(__init__)
       96    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       94    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       89    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       84    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
       81    0.000    0.000    0.000    0.000 typing.py:515(<genexpr>)
       79    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       73    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       70    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
    70/36    0.000    0.000    0.203    0.006 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
    69/66    0.000    0.000    0.002    0.000 typing.py:306(inner)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       57    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       54    0.000    0.000    0.000    0.000 re.py:269(escape)
       53    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
       53    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       52    0.000    0.000    0.002    0.000 css_parser.py:1092(<listcomp>)
    52/14    0.001    0.000    0.012    0.001 css_parser.py:911(parse_selectors)
       52    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
       51    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       51    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       51    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       51    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       51    0.000    0.000    0.000    0.000 element.py:1624(__eq__)
       51    0.000    0.000    0.001    0.000 typing.py:664(__init__)
       51    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       50    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       50    0.000    0.000    0.000    0.000 ipaddress.py:1908(__init__)
       50    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       49    0.000    0.000    0.000    0.000 typing.py:947(__init__)
       49    0.000    0.000    0.001    0.000 typing.py:1016(__init__)
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       48    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       47    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       47    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       47    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
    46/31    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1740(_parse_hextet)
       46    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
    46/31    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       44    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       44    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
